,PLAYER,SEASON,season year,AGE,POS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
86,Barak Barakat,1,2010,25,SF,14.3,2.3,6,0.375,0.9,2.3,0.389,1.4,3.8,0.367,0.448,1,1.1,0.889,1,1.6,2.6,0.9,0.4,0.1,0.8,1.5,6.4,13.2,0.491,0.375,0.188,8,13.3,10.6,10.2,1.4,0.7,10.4,23,0.1,0.1,0.1,0.061,-0.8,-1.5,-2.3,0
87,Barak Barakat,0,2010,25,SF,27.6,3.2,8.8,0.364,1,3.1,0.323,2.2,5.7,0.386,0.42,1.6,2.1,0.762,1.7,3,4.7,0.9,0.8,0,1.3,3.6,9,7.3,0.463,0.352,0.239,6.8,12.3,9.5,4.5,1.4,0,11.8,17.1,-0.1,0.1,-0.1,-0.01,-3.7,-1.5,-5.3,-0.2
88,Shalom Shabtai,1,2014,24,PG,12.9,2,4.7,0.429,0.8,2.3,0.333,1.2,2.3,0.524,0.512,0.6,0.7,0.833,0,1,1,1.1,0.9,0,0.6,1.2,5.3,13,0.538,0.5,0.143,0,8.7,4.2,13.7,3.3,0,10.1,18.1,0.1,0.1,0.2,0.071,-2.6,0.2,-2.4,0
89,Yuval David,0,2022,22,SG,17.2,2.1,5.1,0.413,0.4,1.9,0.235,1.7,3.2,0.517,0.457,1.1,1.1,1,0.6,1.6,2.1,0.4,0.6,0.2,0.7,1.9,5.8,8,0.516,0.37,0.217,3.3,10.3,6.6,3.9,1.6,1.2,10.6,15.6,0,0.1,0.1,0.021,-4.9,-1,-5.8,-0.2
90,Yuval David,0,2022,22,SG,17.2,2.1,5.1,0.413,0.4,1.9,0.235,1.7,3.2,0.517,0.457,1.1,1.1,1,0.6,1.6,2.1,0.4,0.6,0.2,0.7,1.9,5.8,8,0.516,0.37,0.217,3.3,10.3,6.6,3.9,1.6,1.2,10.6,15.6,0,0.1,0.1,0.021,-4.9,-1,-5.8,-0.2
91,Liran Levy,0,2022,27,PG,4.3,0,1.3,0,0,0,0,0,1.3,0,0,0,1.3,0,0.3,0.7,1,1,0,0,0.3,0.3,0,,,,,,,,,,,,,,,,,,,,
92,Pini Peretz,1,2010,23,PG,9.8,1,2.8,0.364,0.3,0.8,0.333,0.8,2,0.375,0.409,0.8,1,0.75,0.3,0.5,0.8,1.5,0,0,2,1.3,3,-0.2,0.47,0.273,0.364,2.9,6,4.4,23.5,0,0,38.5,24.1,-0.2,0,-0.2,-0.204,-8.5,-4.8,-13.3,-0.1
93,Pini Peretz,0,2010,23,PG,8.3,0.7,2.3,0.286,0,0.7,0,0.7,1.7,0.4,0.286,1,1.3,0.75,0.3,1,1.3,2,1,0.7,0.7,0.7,2.3,19.2,0.4,0.286,0.571,4.8,13.8,9.4,33.5,6.3,5.8,18.6,19.7,0,0.1,0.1,0.124,-0.8,7.4,6.6,0.1
94,Pini Peretz,0,2010,23,PG,2,0,0.4,0,0,0.2,0,0,0.2,0,0,0.2,0.8,0.25,0,0.2,0.2,0.4,0,0,0.2,0,0.2,-6.6,0.133,0.5,2,0,11.3,6,25.5,0,0,21,22.2,-0.1,0,-0.1,-0.336,-10.4,-4.5,-14.9,0
95,Itai David,0,2019,24,SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
96,Yossi David,0,2022,24,SG,8.5,0.5,1.8,0.265,0.1,0.5,0.111,0.4,1.3,0.32,0.279,0.5,0.5,0.9,0.7,0.9,1.6,0.3,0.4,0.2,0.3,0.8,1.5,,,,,,,,,,,,,,,,,,,,
97,Yossi David,0,2022,24,SG,5,0.3,1.7,0.2,0,1,0,0.3,0.7,0.5,0.2,0,0,0,0,0.3,0.3,0.3,0.7,0.3,0,0.7,0.7,,,,,,,,,,,,,,,,,,,,
98,Yossi David,1,2021,23,SG,16.9,1.4,4.8,0.302,0.6,2.3,0.238,0.9,2.4,0.364,0.36,1,1.1,0.9,0.3,1.6,1.9,1,0.4,0.2,0.7,2.1,4.4,,,,,,,,,,,,,,,,,,,,
99,Shahar Shani,0,2020,26,PG,13.3,0,1.3,0,0,0.7,0,0,0.7,0,0,1.7,2,0.833,0,0.7,0.7,1.7,0.7,0,0,1,1.7,6.7,0.377,0.5,1.5,0,5.6,2.7,15.7,2.4,0,0,7.1,0,0,0,0.045,-6,0.2,-5.9,0
100,Shahar Shani,1,2017,23,PG,9.3,1.5,3.3,0.462,0.8,1.9,0.4,0.8,1.4,0.545,0.577,1.5,1.5,1,0,0.6,0.6,0.8,0.4,0.1,0.4,1.4,5.3,17.7,0.671,0.577,0.462,0,7.5,3.7,13.2,2,1.1,8.8,20.1,0.2,0.1,0.3,0.197,1.4,1.5,2.9,0.1
101,Yonatan Yosef,0,2022,23,SG,27.7,3,8.3,0.36,2,5,0.4,1,3.3,0.3,0.48,1.7,2,0.833,0.3,4.3,4.7,1.3,0.7,0,0,2.3,9.7,,,,,,,,,,,,,,,,,,,,
102,Dima David,0,2022,25,C,10.3,1,2.7,0.375,0,0,0,1,2.7,0.375,0.375,1.7,2,0.833,1.3,2.7,4,0,0.3,0,0.3,2,3.7,12.3,0.517,0,0.75,13.3,29.4,20.9,0,1.6,0,8.6,16.1,0,0,0.1,0.108,-4.2,-3.3,-7.5,0
103,Boaz Golan,0,2009,24,C,4,0,1.5,0,0,0,0,0,1.5,0,0,0,1,0,0.5,0.5,1,0,0,0,0,0,0,-12.6,0,0,0.667,13.2,14.2,13.7,0,0,0,0,21.1,-0.1,0,-0.1,-0.458,-12.9,-11.5,-24.5,0
104,Ron Elyashiv,1,2013,34,C,14.9,1.7,2.9,0.577,0,0.1,0.667,1.6,2.9,0.575,0.585,1.5,2.2,0.677,1.4,2.7,4.1,0.4,0.4,1,0.6,2.1,4.9,17.4,0.631,0.024,0.756,11.9,21.5,17,4,1.4,5.8,12.8,14.4,1.6,1.1,2.7,0.207,-1,0.8,-0.2,0.3
105,Yaniv Avraham,1,2014,23,SG,9.4,0.6,2.1,0.267,0.4,1.9,0.222,0.1,0.2,0.667,0.367,0,0,0,0.3,0.9,1.2,0.2,0.4,0,0.2,0.9,1.6,3.7,0.367,0.9,0,3.3,11.5,7.3,3.3,2.3,0,9.1,11.1,-0.1,0.1,0,-0.008,-6,-0.1,-6.1,-0.1
106,Harel Hershkowitz,1,2019,23,PG,4.7,0.3,1.1,0.25,0.3,0.7,0.4,0,0.4,0,0.375,0,0,0,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.3,0.9,7,0.375,0.625,0,3.3,10.3,6.7,16.1,1.5,2.6,11.1,11.8,0,0,0,0.023,-2.7,1.4,-1.3,0
107,Aviv Atia,0,2022,24,SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
108,Idan Itzhaki,1,2013,27,C,9.5,1.6,2.5,0.64,0,0,0,1.6,2.5,0.64,0.64,0.7,1.1,0.618,0.7,1.3,2,0.3,0.2,0.9,0.4,1.6,3.9,18.4,0.65,0,0.453,7.8,16.6,12.1,4.9,1.3,7.6,12.6,16.2,0.6,0.4,1,0.176,-1.2,2.8,1.6,0.3
109,Idan Itzhaki,0,2011,25,C,8,0.5,0.8,0.667,0,0,0,0.5,0.8,0.667,0.667,0.5,0.5,1,0.3,1,1.3,0.3,0,0.8,0.5,0.8,1.5,9.9,0.773,0,0.667,4.1,14.5,9.6,4.5,0,7.3,34,8.8,0,0.1,0.1,0.118,-3,2.6,-0.4,0
110,Idan Itzhaki,0,2011,25,C,10.6,0.7,1.8,0.389,0,0,0,0.7,1.8,0.389,0.389,1.3,1.8,0.722,1.1,1.6,2.7,0.2,0.3,0.6,0.8,1.8,2.7,10.3,0.521,0,1,12.2,19.3,15.6,2.8,1.5,4.7,23.6,15,0,0.2,0.2,0.069,-5.9,0.6,-5.3,-0.1
111,Tzachi Tzuriel,1,2010,25,PF,12.4,0.8,1.6,0.517,0,0,0,0.8,1.6,0.517,0.517,0.4,0.6,0.636,1.1,2.2,3.3,0.4,0.4,0.2,0.8,2.8,2.1,6.5,0.547,0,0.379,9.6,19.6,14.7,4.4,1.8,1.4,29.3,9.6,0,0.4,0.3,0.067,-6.8,1,-5.8,-0.2
112,Shay Ohana,0,2022,25,PF,9.8,0.9,1.7,0.533,0,0,0,0.9,1.7,0.533,0.533,1.1,1.3,0.833,1.4,2.4,3.9,0.8,0,0.1,0.9,2.2,2.9,11.9,0.641,0,0.8,17,27.9,22.6,10.9,0,1.2,28.3,14.3,0.1,0.1,0.3,0.14,-5,0.1,-4.9,-0.1
113,Shay Ohana,0,2022,25,PF,9.8,0.9,1.7,0.533,0,0,0,0.9,1.7,0.533,0.533,1.1,1.3,0.833,1.4,2.4,3.9,0.8,0,0.1,0.9,2.2,2.9,11.9,0.641,0,0.8,17,27.9,22.6,10.9,0,1.2,28.3,14.3,0.1,0.1,0.3,0.14,-5,0.1,-4.9,-0.1
114,Shay Ohana,0,2022,25,PF,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.8,,,,0,36.6,17.9,0,0,0,,0,0,0,0,0.052,-5.3,-0.5,-5.8,0
115,Jonathan Jacob,1,2014,25,SF,15.8,2.6,4.4,0.6,0,0.1,0,2.6,4.3,0.618,0.6,0.8,1.9,0.4,1.3,1.3,2.5,0.6,0.9,0.6,0.6,2.1,6,16.5,0.577,0.029,0.429,8.8,9.4,9.1,6.9,2.9,3.2,10.7,16.7,0.2,0.1,0.3,0.102,-0.4,0.2,-0.2,0.1
116,Jonathan Jacob,0,2013,23,SG,1.3,0.3,0.7,0.5,0,0,0,0.3,0.7,0.5,0.5,0,0,0,0,0,0,0,0,0,0.3,0,0.7,,,,,,,,,,,,,,,,,,,,
117,Yaron David,0,2015,24,SF,16,1.5,3.8,0.4,0.6,2.3,0.278,0.9,1.5,0.583,0.483,0.3,0.3,1,0.3,1.1,1.4,0.6,0.6,0.3,0,0.9,3.9,,,,,,,,,,,,,,,,,,,,
118,Yaron David,1,2015,24,SF,17.6,2.6,5.3,0.484,1.1,3.2,0.342,1.5,2.2,0.692,0.586,0.5,0.5,1,0.3,1.3,1.5,0.6,1,0,0.5,1.5,6.8,,,,,,,,,,,,,,,,,,,,
119,Yaron David,1,2014,23,SF,19.7,2.1,5.4,0.397,1.1,3.2,0.339,1.1,2.2,0.483,0.498,0.9,1.1,0.86,0.8,1.7,2.4,0.8,0.7,0.1,0.6,1.6,6.3,,,,,,,,,,,,,,,,,,,,
120,Yaron David,0,2013,22,SF,12.8,1.4,3.1,0.44,0.8,2.3,0.333,0.6,0.9,0.714,0.56,0.1,0.3,0.5,0.6,0.8,1.4,0.3,0.5,0,0.4,0.6,3.6,,,,,,,,,,,,,,,,,,,,
121,Zion Zohar,1,2016,20,PF,8.5,1.3,3.1,0.415,0.2,0.6,0.364,1.1,2.5,0.429,0.453,0.8,1.2,0.619,0.8,1.5,2.2,0.2,0.3,0.4,0.1,0.6,3.6,16.4,0.49,0.208,0.396,9.4,19.4,14.3,3.5,1.7,3.7,3.1,19.4,0.2,0.1,0.3,0.097,0.4,-0.6,-0.2,0.1
122,Raz Barakat,0,2010,26,SF,27,2.8,8,0.344,0.5,2.8,0.182,2.3,5.3,0.429,0.375,1,1.5,0.667,1,3,4,3.8,0.8,0.3,1.5,3.5,7,7.1,0.404,0.344,0.188,4.1,12.5,8.2,18.7,1.3,0.7,14.8,16.1,-0.1,0,-0.1,-0.028,-3.8,-0.3,-4.1,-0.1
123,Kfir Karmi,0,2019,24,"SF, PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
124,Eitan Erez,1,2019,32,SF,14.7,1.4,3.1,0.446,0.4,1.3,0.333,1,1.8,0.523,0.514,0.9,1.3,0.733,0.9,1.5,2.5,1.2,0.8,0.2,0.5,2,4.1,12,0.562,0.405,0.405,6.3,11.1,8.6,10.3,2.6,1.2,11.2,11.5,0.5,0.4,0.8,0.115,-2,1.6,-0.4,0.1
125,Eitan Erez,0,2019,32,SF,20,2.9,7,0.408,0.6,2,0.286,2.3,5,0.457,0.449,1.3,1.9,0.692,0.6,1.9,2.4,1.4,1.7,0.3,1.1,2.3,7.6,10.8,0.484,0.286,0.265,3.1,9.6,6.4,10,4,1.1,12.8,18.8,-0.1,0.2,0.1,0.044,-5.1,1.5,-3.6,-0.1
126,Idan Itzhak,0,2016,25,PF,6.3,1.1,2.8,0.409,0,0.1,0,1.1,2.6,0.429,0.409,0.5,0.8,0.667,0.8,1.3,2,0,0,0.1,0,1,2.8,12.7,0.446,0.045,0.273,12.7,22.2,17.4,0,0,1.6,0,21,0,0,0.1,0.07,-2.7,-3.7,-6.4,-0.1
127,Yossi Yifrach,0,2016,23,SF,2,0.7,1.3,0.5,0.7,0.7,1,0,0.7,0,0.75,0,0,0,0,0.3,0.3,0,0,0,0.3,0,2,23.9,0.75,0.5,0,0,18,8.8,0,0,0,20,35.5,0,0,0,0.025,15.5,1,16.5,0
128,Amit Alon,1,2012,23,PG,8.2,1,3.3,0.3,0.3,1.5,0.222,0.7,1.8,0.364,0.35,0.7,1,0.667,0.3,0.8,1.2,0.8,0.5,0,0.8,0.3,3,8.5,0.398,0.45,0.3,4.7,12,8.3,15.6,3.2,0,18.1,25.6,-0.1,0.1,-0.1,-0.065,-5,0.2,-4.8,0
129,Misha Meir,0,2009,25,C,11,3,6,0.5,0,0,0,3,6,0.5,0.5,0,0,0,2,2,4,0,0,0,0,1,6,19.8,0.5,0,0,19.3,20.6,19.9,0,0,0,0,23.7,0,0,0,0.118,2.3,-5.4,-3.1,0
130,Ehud Eitan,0,2022,28,SG,6.3,1,1.3,0.75,0,0.3,0,1,1,1,0.75,0,0,0,0,0,0,0.3,1.3,0,0.3,2.3,2,,,,,,,,,,,,,,,,,,,,
131,Tomer Keren,1,2008,27,C,7.5,1.2,2.3,0.492,0,0,0,1.2,2.3,0.492,0.492,0.2,0.4,0.4,0.6,1,1.6,0.2,0.2,0.6,0.3,1.5,2.5,,,,,,,,,,,,,,,,,,,,
132,Chen Cohen,0,2014,23,SG,5,1,2.3,0.429,0,0,0,1,2.3,0.429,0.429,0.3,0.3,1,0.3,1.3,1.7,0,0,0,0,0,2.3,,,,,,,,,,,,,,,,,,,,
133,Omri David,0,2022,25,PF,13.5,2.8,3.8,0.733,0,0.5,0,2.8,3.3,0.846,0.733,2,2.5,0.8,0.3,3.8,4,1.3,1.3,0.3,0.5,1.5,7.5,,,,,,,,,,,,,,,,,,,,
134,Pinchas Pinto,1,2015,34,SF,3.7,0.2,0.6,0.286,0,0.1,0,0.2,0.5,0.353,0.286,0.3,0.3,0.818,0,0.3,0.3,0.1,0.1,0,0,0.7,0.6,1.9,0.406,0.19,0.524,0.9,9,5,2.1,1.2,0,3.7,9.8,0,0.1,0,0.013,-7.6,-0.6,-8.3,-0.2
135,Hadar Harel,1,2013,25,PF,3.5,0.5,2,0.25,0,0,0,0.5,2,0.25,0.25,0,0,0,0,1,1,0.5,0,0,0,0,1,4.3,0.25,0,0,0,33.5,17,21.7,0,0,0,26.1,0,0,0,-0.124,-6.3,-2.6,-8.9,0
136,Dudu Avraham,0,2022,26,SG,2.7,0.3,1,0.333,0.3,1,0.333,0,0,0,0.5,0,0,0,0,0.3,0.3,0.2,0.2,0,0,0.2,1,,,,,,,,,,,,,,,,,,,,
137,Guy Gur,0,2021,25,C,20.1,2.7,4.1,0.657,0.1,0.2,0.25,2.6,3.9,0.682,0.664,1.5,2.1,0.714,1.2,3.3,4.5,1.4,0.5,1,0.9,2.1,6.9,15.9,0.691,0.057,0.5,6.7,18.5,12.5,9.4,1.3,4.2,14.9,12.7,0.7,0.2,0.9,0.132,-1,0.3,-0.6,0.1
138,Guy Gur,0,2021,25,C,14,2,2.1,0.941,0,0,0,2,2.1,0.941,0.941,1.4,1.5,0.917,1,2.3,3.3,0.1,0.1,0.9,0.6,2.8,5.4,17.1,0.965,0,0.706,8.1,18,13,1.3,0.4,5.6,18.3,10.6,0.4,0.2,0.5,0.235,-2,1.8,-0.2,0.1
139,Sagi Sharabi,1,2011,31,SF,13,1.3,2.6,0.504,0,0.2,0.2,1.3,2.4,0.528,0.511,0.8,1.1,0.714,0.4,1.3,1.7,0.8,0.5,0.2,0.4,1.4,3.5,11.4,0.557,0.073,0.409,4.1,11.9,8,9.3,2.1,1,11.5,12.8,0.7,0.8,1.5,0.104,-2.4,1.4,-1,0.2
140,Jonathan Jaber,1,2014,26,SF,10,0.4,1.8,0.222,0,0.4,0,0.4,1.4,0.286,0.222,0.4,0.4,1,0.2,2.2,2.4,0.6,0,0.2,0.2,0.6,1.2,4.1,0.304,0.222,0.222,2.4,23.8,13.5,7.5,0,1.4,9.2,9.8,-0.1,0.1,0,0.01,-4.9,0.2,-4.7,0
141,Jonathan Jaber,0,2013,25,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,,-3.8,17.8,14,0
142,Ziv Zarfati,1,2018,25,SG,26.9,4.1,10.1,0.408,1,4,0.25,3.1,6.1,0.511,0.457,1.5,1.9,0.759,0.7,4,4.7,1.9,1.3,0.1,0.9,1.7,10.7,12,0.489,0.395,0.191,3,16.6,9.8,11.2,2.3,0.2,7.8,19.3,0,0.4,0.4,0.046,-2.3,0.4,-1.9,0
143,Meir Mizrahi,0,2022,27,SG,10.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,0,0,1,1,0.5,0,0,0,0,2,6.4,0.5,0.25,0,0,10.4,5.1,6.9,0,0,0,8.3,0,0,0,0.045,-3.7,-1.2,-4.9,0
144,Menashe Mizrahi,0,2022,22,C,9,1,2,0.5,0,0.3,0,1,1.7,0.6,0.5,1,1.7,0.6,0.3,1.3,1.7,0,0,0.7,0,0.3,3,13.4,0.549,0.167,0.833,3.8,17,10,0,0,7.2,0,13,0,0,0.1,0.121,-2.7,-2.5,-5.2,0
145,Uri Unger,1,2022,28,SF,19.6,2.2,4.9,0.447,1.4,3.3,0.415,0.8,1.6,0.512,0.585,1.1,1.6,0.692,0.6,2.2,2.7,1,0.6,0.5,0.6,1.4,6.8,,,,,,,,,,,,,,,,,,,,
146,Uri Unger,0,2022,28,SF,19.6,2.2,4.9,0.447,1.4,3.3,0.415,0.8,1.6,0.512,0.585,1.1,1.6,0.692,0.6,2.2,2.7,1,0.6,0.5,0.6,1.4,6.8,,,,,,,,,,,,,,,,,,,,
147,Uri Unger,0,2022,28,SF,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
148,Yigal Cohen,0,2022,24,SG,3,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,0,0,0.7,0.7,0.3,0,0,0,0.3,0.7,8.4,0.5,0.5,0,0,23.8,11.6,14,0,0,0,9.1,0,0,0,0.099,-5.8,0.9,-4.9,0
149,Itay Ishai,0,2014,24,SG,5,0,2.3,0,0,1,0,0,1.3,0,0,0,0.7,0,0,0.7,0.7,0.3,0.3,0,0.7,1,0,-23,0,0.429,0.286,0,15,7.2,8.5,3.2,0,20.2,27.9,-0.2,0,-0.2,-0.661,-23,-4.4,-27.3,-0.1
150,Amitai Amiad,0,2008,26,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
151,Ariel Azoulay,0,2014,23,PG,13.2,1.2,3.2,0.375,0.4,1.4,0.286,0.8,1.8,0.444,0.438,0.2,0.6,0.333,0.8,0.8,1.6,1.6,0.6,0,1.2,0.6,3,7.9,0.433,0.438,0.188,7.2,7.2,7.2,17.4,2.4,0,25.7,16.3,-0.1,0.1,0,-0.016,-2.9,0.4,-2.5,0
152,Ariel Azoulay,0,2014,23,PG,5.4,0.4,1.3,0.308,0,0.7,0,0.4,0.6,0.667,0.308,0.1,0.2,0.5,0,0.5,0.5,0.5,0.2,0,0.2,0.9,0.9,1.5,0.324,0.538,0.154,0,9.9,5.1,12.5,1.9,0,12.6,13,-0.1,0.1,0,-0.041,-9.2,0.1,-9.1,-0.1
153,Lior Levi,0,2022,34,PG,12.3,0.7,2.3,0.286,0,1,0,0.7,1.3,0.5,0.286,0,0,0,0,1.3,1.3,0.7,0.3,0,0.3,1.7,1.3,-0.2,0.286,0.429,0,0,11.6,5.8,6.8,1.3,0,12.5,9.3,-0.1,0,-0.1,-0.07,-10,-0.9,-10.9,-0.1
154,Zalman Zilber,1,2017,24,SG,19.9,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,2,0.641,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,6,12.2,0.611,0.062,0.481,4.5,13.1,8.7,5,1.6,1.4,10.1,11.8,0.6,0.2,0.8,0.091,-2.1,-0.1,-2.2,0
155,Liran Barak,1,2018,26,PG,3,0.7,1,0.667,0.7,1,0.667,0,0,0,1,1.3,1.3,1,0,0,0,0,0,0,0.3,1,3.3,33.9,1.05,1,1.333,0,0,0,0,0,0,17.4,28.8,0.1,0,0.1,0.459,6.7,1.1,7.9,0
156,Liran Barak,1,2015,23,PG,11,0.7,2,0.333,0.3,0.7,0.5,0.3,1.3,0.25,0.417,1,2,0.5,0,0.7,0.7,3,0.7,0,1.3,0.3,2.7,10.8,0.463,0.333,1,0,6.6,3.4,39.1,3.1,0,31.6,16.9,0,0,0,-0.014,-2.2,-1.7,-3.9,0
157,Dor Danieli,0,2015,24,PF,3.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0,1,0,1,0.5,0,0,0,0.5,0,2.4,0,0.5,0,33.6,0,16.2,18.8,0,0,0,12.6,0,0,0,-0.11,-3.2,-6.2,-9.4,0
158,Nahum Nussbaum,0,2022,26,SG,13.9,1.7,3.4,0.503,0.8,1.8,0.43,0.9,1.6,0.587,0.618,0.2,0.3,0.667,0.3,2,2.3,1.1,0.5,0.2,0.3,1.3,4.4,12.2,0.624,0.534,0.093,2.4,15.2,9,10.7,1.8,1.2,8.7,12.1,0.9,0.7,1.6,0.117,-0.6,0.3,-0.3,0.3
159,Nahum Nussbaum,0,2022,26,SG,13.9,1.7,3.4,0.503,0.8,1.8,0.43,0.9,1.6,0.587,0.618,0.2,0.3,0.667,0.3,2,2.3,1.1,0.5,0.2,0.3,1.3,4.4,12.2,0.624,0.534,0.093,2.4,15.2,9,10.7,1.8,1.2,8.7,12.1,0.9,0.7,1.6,0.117,-0.6,0.3,-0.3,0.3
160,Zion Zlotnik,1,2018,29,SG,9,0.7,1.5,0.439,0.3,0.6,0.471,0.4,0.9,0.417,0.537,0,0,0,0.1,0.9,1,0.8,0.4,0.1,0.3,0.7,1.6,7.8,0.537,0.415,0,0.9,10.3,5.8,10.7,2,1.3,14.6,8.5,0.1,0.2,0.3,0.062,-3.3,1.5,-1.8,0
161,Zion Zlotnik,0,2014,25,SG,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,2,129.1,1,0,0,100,0,62.8,0,0,0,0,47.8,0,0,0,2.123,42.1,-0.6,41.5,0
162,Adi Avraham,0,2022,21,SG,9,0.3,3.3,0.1,0.3,2.3,0.143,0,1,0,0.15,0,0,0,0,2,2,0.3,1,0.3,0,1.3,1,0.1,0.15,0.7,0,0,25.3,12,4.9,5.4,3.3,0,15.9,-0.1,0.1,-0.1,-0.139,-10.8,2.2,-8.7,0
163,Nir Nir,0,2022,25,SG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
164,Natan Nuriel,1,2022,31,C,13.9,3,6.6,0.456,0.8,2.4,0.324,2.3,4.3,0.53,0.515,2.1,2.8,0.736,1.6,3.9,5.5,1.7,0.6,0.4,2.2,3,8.9,17.6,0.565,0.359,0.422,13.4,30.6,22.3,19.1,2.2,2.7,22,31.9,-0.2,0.8,0.6,0.065,-2.8,-0.2,-3.1,-0.1
165,Natan Nuriel,0,2022,31,C,13.9,3,6.6,0.456,0.8,2.4,0.324,2.3,4.3,0.53,0.515,2.1,2.8,0.736,1.6,3.9,5.5,1.7,0.6,0.4,2.2,3,8.9,17.6,0.565,0.359,0.422,13.4,30.6,22.3,19.1,2.2,2.7,22,31.9,-0.2,0.8,0.6,0.065,-2.8,-0.2,-3.1,-0.1
166,Natan Nuriel,1,2021,30,C,12.9,3.2,5.9,0.537,0.5,1.2,0.421,2.7,4.8,0.566,0.579,0.9,1.4,0.682,1.4,3.1,4.5,1,0.8,0.4,1.6,2.1,7.8,20.3,0.597,0.2,0.232,12.9,25.9,19.6,12.4,3.1,2.6,19.3,27.7,0.1,0.4,0.5,0.119,-0.2,1.9,1.7,0.2
167,Pavel Itzhaki,0,2009,24,SF,4.5,1,2.5,0.4,0,0.5,0,1,2,0.5,0.4,0.5,1,0.5,0,1,1,0,0,0.5,0,0,2.5,15.7,0.425,0.2,0.4,0,25.2,12.2,0,0,8.1,0,28.4,0,0,0,-0.01,-0.1,-1.1,-1.2,0
168,Dev Cohen,0,2018,23,PG,5.3,0.3,1.2,0.286,0,0.5,0,0.3,0.7,0.5,0.286,0,0,0,0.3,0.6,0.9,0.4,0.3,0.1,0.8,0.5,0.7,0.2,0.286,0.429,0,7.2,12.4,9.8,10.7,3.1,1.3,39.1,16.1,-0.3,0.1,-0.2,-0.14,-9.2,0.6,-8.5,-0.1
169,Oz Ozery,0,2022,28,SG,9,1,2,0.5,0.5,1.5,0.333,0.5,0.5,1,0.625,0,0,0,0,2,2,0,0.5,0,1,1.5,2.5,4.2,0.625,0.75,0,0,23.5,12.2,0,2.7,0,33.3,14.5,0,0,0,-0.026,-8.1,1.6,-6.5,0
170,Zohar Ziv,0,2022,26,PG,36,2,8.7,0.231,1,4.3,0.231,1,4.3,0.231,0.288,1.3,1.3,1,0.7,2.7,3.3,7,2.3,1.3,3.7,2.7,6.3,5.9,0.342,0.5,0.154,1.9,8.4,5,26.4,3.2,3.3,28.4,15.4,-0.3,0.1,-0.2,-0.071,-5.3,1,-4.3,-0.1
171,Zohar Ziv,0,2020,24,PG,8.7,0.3,1,0.333,0.3,1,0.333,0,0,0,0.5,0,0,0,0,0.3,0.3,1.7,1,0,0.3,0.7,1,11.3,0.5,1,0,0,4.4,2.2,24.8,5.7,0,25,6.7,0,0,0.1,0.105,-2.9,4.7,1.8,0
172,Roi Ronen,0,2018,26,PF,4.5,0.5,2,0.25,0,1,0,0.5,1,0.5,0.25,0,0,0,0,0.5,0.5,0,0,0,0,0,1,-3.2,0.25,0.5,0,0,11.7,5.9,0,0,0,0,18.9,0,0,0,-0.191,-9.8,-7,-16.8,0
173,Roi Ronen,1,2017,25,PF,17.1,2.2,4.3,0.505,0.8,2.1,0.404,1.3,2.2,0.6,0.603,1.1,1.6,0.692,0.1,2.2,2.3,0.6,0.2,0.1,0.6,1.1,6.2,11.1,0.628,0.486,0.364,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,0.6,0.2,0.8,0.086,-1,-1.5,-2.5,-0.1
